0,All Causes
10,"Communicable, maternal, perinatal and nutritional conditions"
20,Infectious and parasitic diseases
30,Tuberculosis
40,STDs excluding HIV
50,Syphilis
60,Chlamydia
70,Gonorrhoea
80,Trichomoniasis
85,Genital herpes
90,Other STDs
100,HIV/AIDS
110,Diarrhoeal diseases
120,Childhood-cluster diseases
130,Whooping cough
140,Diphtheria
150,Measles
160,Tetanus
170,Meningitis
180,Encephalitis
185,Hepatitis
186,Acute hepatitis A
190,Acute hepatitis B
200,Acute hepatitis C
205,Acute hepatitis E
210,Parasitic and vector diseases
220,Malaria
230,African trypanosomiasis
240,Chagas disease
250,Schistosomiasis
260,Leishmaniasis
270,Lymphatic filariasis
280,Onchocerciasis
285,Cysticercosis
295,Echinococcosis
300,Dengue
310,Trachoma
315,Yellow fever
320,Rabies
330,Intestinal nematode infections
340,Ascariasis
350,Trichuriasis
360,Hookworm disease
362,Food-bourne trematodes
365,Leprosy
370,Other infectious diseases
380,Respiratory infections 
390,Lower respiratory infections
400,Upper respiratory infections
410,Otitis media
420,Maternal conditions
490,Neonatal conditions
500,Preterm birth complications
510,Birth asphyxia and birth trauma
520,Neonatal sepsis and infections
530,Other neonatal conditions
540,Nutritional deficiencies
550,Protein-energy malnutrition
560,Iodine deficiency
570,Vitamin A deficiency
580,Iron-deficiency anaemia
590,Other nutritional deficiencies
600,Noncommunicable diseases
610,Malignant neoplasms
620,Mouth and oropharynx cancers
621,Lip and oral cavity
622,Nasopharynx
623,Other pharynx
630,Oesophagus cancer
640,Stomach cancer
650,Colon and rectum cancers
660,Liver cancer
661,Liver cancer secondary to hepatitis B
662,Liver cancer secondary to hepatitis C
663,Liver cancer secondary to alcohol use
664,Other liver cancer
670,Pancreas cancer
680,"Trachea, bronchus, lung cancers"
690,Melanoma and other skin cancers
691,Malignant skin melanoma
692,Non-melanoma skin cancer
700,Breast cancer
710,Cervix uteri cancer
720,Corpus uteri cancer
730,Ovary cancer
740,Prostate cancer
742,Testicular cancer
745,Kidney cancer
750,Bladder cancer
751,Brain and nervous system cancers
752,Gallbladder and biliary tract cancer
753,Larynx cancer
754,Thyroid cancer
755,Mesothelioma
760,"Lymphomas, multiple myeloma"
761,Hodgkin lymphoma
762,Non-Hodgkin lymphoma
763,Multiple myeloma
770,Leukaemia
780,Other malignant neoplasms
790,Other neoplasms
800,Diabetes mellitus
810,"Endocrine, blood, immune disorders"
811,Thalassaemias
812,Sickle cell disorders and trait
813,Other haemoglobinopathies and haemolytic anaemias
814,"Other endocrine, blood and immune disorders"
820,Mental and substance use disorders
830,Depressive disorders
831,Major depressive disorder
832,Dysthymia
840,Bipolar disorder
850,Schizophrenia
860,Alcohol use disorders
870,Drug use disorders
871,Opioid use disorders
872,Cocaine use disorders
873,Amphetamine use disorders
874,Cannabis use disorders
875,Other drug use disorders
880,Anxiety disorders
890,Eating disorders
900,Autism and Asperger syndrome
910,Childhood behavioural disorders
911,Attention deficit/hyperactivity syndrome
912,Conduct disorder
920,Idiopathic intellectual disability
930,Other mental and behavioural disorders
940,Neurological conditions
950,Alzheimer disease and other dementias
960,Parkinson disease
970,Epilepsy
980,Multiple sclerosis
990,Migraine
1000,Non-migraine headache
1010,Other neurological conditions
1020,Sense organ diseases
1030,Glaucoma
1040,Cataracts
1050,Uncorrected refractive errors
1060,Macular degeneration
1070,Other vision loss
1080,Other hearing loss
1090,Other sense organ disorders
1100,Cardiovascular diseases
1110,Rheumatic heart disease
1120,Hypertensive heart disease
1130,Ischaemic heart disease
1140,Stroke
1141,Ischaemic stroke
1142,Haemorrhagic stroke
1150,"Cardiomyopathy, myocarditis, endocarditis"
1160,Other circulatory diseases
1170,Respiratory diseases
1180,Chronic obstructive pulmonary disease
1190,Asthma
1200,Other respiratory diseases
1210,Digestive diseases
1220,Peptic ulcer disease
1230,Cirrhosis of the liver
1231,Cirrhosis due to hepatitis B
1232,Cirrhosis due to hepatitis C
1233,Cirrhosis due to alcohol use
1234,Other liver cirrhosis
1240,Appendicitis
1241,Gastritis and duodenitis
1242,Paralytic ileus and intestinal obstruction
1244,Inflammatory bowel disease
1246,Gallbladder and biliary diseases
1248,Pancreatitis
1250,Other digestive diseases
1260,Genitourinary diseases
1270,Kidney diseases
1271,Acute glomerulonephritis
1272,Chronic kidney disease due to diabetes
1273,Other chronic kidney disease
1280,Benign prostatic hyperplasia
1290,Urolithiasis
1300,Other urinary diseases
1310,Infertility
1320,Gynecological diseases
1330,Skin diseases
1340,Musculoskeletal diseases
1350,Rheumatoid arthritis
1360,Osteoarthritis
1370,Gout
1380,Back and neck pain
1390,Other musculoskeletal disorders
1400,Congenital anomalies
1410,Neural tube defects
1420,Cleft lip and cleft palate
1430,Down syndrome
1440,Congenital heart anomalies
1450,Other chromosomal anomalies
1460,Other congenital anomalies
1470,Oral conditions
1480,Dental caries
1490,Periodontal disease
1500,Edentulism
1502,Other oral disorders
1505,Sudden infant death syndrome
1510,Injuries
1520,Unintentional injuries
1530,Road injury
1540,Poisonings
1550,Falls
1560,"Fire, heat and hot substances"
1570,Drowning
1575,Exposure to mechanical forces
1580,Natural disasters
1590,Other unintentional injuries
1600,Intentional injuries
1610,Self-harm
1620,Interpersonal violence
1630,Collective violence and legal intervention
